"unique_storm_number","sub_storms","suspended_sediment_mg_L","chloride_mg_L","no2_no3_n_mg_L","ammonium_n_mg_L","tkn_unfiltered_mg_L","orthophosphate_mg_L","total_phosphorus_unfiltered_mg_L","total_nitrogen_computed_mg_L","organic_nitrogen_computed_mg_L","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3_n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","total_phosphorus_unfiltered_load_pounds","total_nitrogen_computed_load_pounds","organic_nitrogen_computed_load_pounds","sum_runoff","suspended_sediment_flag","chloride_flag","no2_no3_flag","ammonium_n_flag","tkn_unfiltered_flag","orthophosphate_flag","total_phosphorus_unfiltered_flag","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen","stormnum","rain_startdate","rain_enddate","rain","duration","Ievent","I5","I10","I15","I30","I60","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","ant_discharge_date","ant_dis_1day_max","ant_dis_2day_mean","ant_dis_2day_max","ant_dis_3day_mean","ant_dis_3day_max","ant_dis_7day_mean","ant_dis_7day_max","ant_dis_14day_mean","ant_dis_14day_max","sin_sdate","cos_sdate","tmax","tmin","snwd_diff","SOIL_Moist_perc","SOIL_Temp_F","days_since_planting","days_since_fertilizer","days_since_cultivation","days_since_disturbance"
2,"MI-FM1-2",165,5.7,2.3,0.13,2.19,0.095,0.472,4.5,2.1,1561.6,53.94,21.77,1.23,20.73,0.899,4.47,42.49,19.5,151598,NA,NA,NA,NA,NA,NA,NA,"2013-01-29 16:21:00","2013-01-31 08:09:00","2013-01-29 07:15:00","2013-01-31 12:15:00",2.29,151598,1,1,"2013-01-29 04:55:00","2013-01-30 21:00:00",0.63,40.0833333333333,0.0157172557172557,0.96,0.66,0.48,0.42,0.23,323.365598125058,1.35813551212524,353.606583361585,1.48514765011866,0,0,0,0,"2013-01-15 07:15:00",40,21,40,14.6666666666667,40,7.42857142857143,40,6.07142857142857,40,0.478733840115788,0.877960084700888,14.4,-8.9,-4.0157502,27.6943287033333,33.0459299766667,0,259,93,10
3,"MI-FM1-3",86,0.125,0.6,0.12,1.3,0.022,0.22,1.9,1.2,21.2,0.06,0.15,0.03,0.32,0.005,0.05,0.47,0.29,3956,NA,"<",NA,NA,NA,NA,NA,"2013-03-09 16:04:00","2013-03-09 21:06:00","2013-03-09 15:45:00","2013-03-10 02:00:00",0.32,3956,1,2,"2013-03-09 16:45:00","2013-03-09 22:40:00",0.01,5.91666666666667,0.00169014084507042,0.12,0.06,0.04,0.02,0.01,4.82503967271275,0.000965007934542549,6.11208992441764,0.00122241798488353,0,0,0,0,"2013-02-23 15:45:00",48.5,33,48.5,25.3333333333333,48.5,14.7785714285714,48.5,12.0957142857143,48.5,0.920971287716634,0.389630449530789,15.6,-4.4,-0.9842525,22.449131945,31.89212847,0,298,132,10
4,"MI-FM1-4",49,1.2,1.1,0.08,1.45,0.025,0.233,2.6,1.4,33.9,0.83,0.76,0.06,1,0.017,0.16,1.76,0.95,11070,NA,NA,NA,NA,NA,NA,NA,"2013-03-10 13:39:00","2013-03-10 22:41:00","2013-03-10 10:00:00","2013-03-11 06:00:00",0.51,11070,1,3,"2013-03-10 10:00:00","2013-03-10 10:01:00",0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,"2013-02-24 09:00:00",77.9,63.2,77.9,47.9666666666667,77.9,24.9071428571429,77.9,17.3035714285714,77.9,0.927541683579196,0.37371971479047,15.6,2.8,0,23.065190975,33.56195399,0,299,133,10
5,"MI-FM1-5",208,1.6,2.3,0.09,2.51,0.031,0.516,4.8,2.4,409.7,3.15,4.53,0.18,4.94,0.061,1.02,9.47,4.77,31552,NA,NA,NA,NA,NA,NA,NA,"2013-03-11 10:22:00","2013-03-12 04:59:00","2013-03-11 09:00:00","2013-03-12 08:45:00",1.56,31552,1,4,"2013-03-11 07:35:00","2013-03-11 16:35:00",0.34,9,0.0377777777777778,0.24,0.24,0.24,0.2,0.18,165.330804022323,0.330661608044647,190.567562732064,0.381135125464127,0,0.01,0.01,0.01,"2013-02-25 08:00:00",91.3,84.6,91.3,72.5666666666667,91.3,37.0214285714286,91.3,23.4321428571429,91.3,0.933837228822925,0.357698238833126,13.9,-1.1,0,27.04461806,36.04093611,0,300,134,10
6,"MI-FM1-6",149,10.7,3.1,0.04,1.83,0.057,0.434,4.9,1.8,7019.5,504.08,146.04,1.88,86.21,2.685,20.45,232.26,84.33,754636,"HT",NA,NA,NA,NA,NA,NA,"2013-04-10 02:22:00","2013-04-13 23:46:00","2013-04-10 02:00:00","2013-04-14 05:45:00",3.82,754636,0,5,"2013-04-10 02:00:00","2013-04-13 01:00:00",1.96,71,0.0276056338028169,1.92,1.26,0.88,0.5,0.28,1093.90644490612,5.46953222453061,1208.89472543671,6.04447362718355,0,0,0,0,"2013-03-27 02:00:00",186,106.2,186,72.6866666666667,186,34.3257142857143,186,21.6242857142857,186,0.98867759023234,-0.150055398344652,8.9,0,0,38.026944444,40.101182638,0,330,164,10
7,"MI-FM1-7",224,7.8,1,0.03,1.98,0.063,0.532,3,2,5656.6,196.97,25.25,0.76,50,1.591,13.43,75.25,49.24,404507,"HT",NA,NA,NA,NA,NA,NA,"2013-04-18 03:16:00","2013-04-20 16:21:00","2013-04-18 02:15:00","2013-04-20 21:30:00",5.13,404507,0,6,"2013-04-18 02:15:00","2013-04-19 07:20:00",1.19,29.0833333333333,0.0409169054441261,0.96,0.78,0.64,0.34,0.23,712.119938098808,2.42120778953595,783.111821014098,2.66258019144793,0,0,1.22,1.96,"2013-04-04 02:15:00",113,73.1,113,62,113,82.2,181,73.4764285714286,219,0.958717816987297,-0.284359187281002,25,-2.1,0,38.06886574,49.63134375,0,338,172,10
8,"MI-FM1-8",269,1.8,0.5,0.04,1.93,0.038,0.562,2.4,1.9,72.8,0.49,0.14,0.01,0.52,0.01,0.15,0.66,0.51,4334,"HT",NA,NA,NA,NA,NA,NA,"2013-04-24 04:43:00","2013-04-24 10:43:00","2013-04-24 02:45:00","2013-04-24 20:15:00",0.31,4334,0,7,"2013-04-23 17:15:00","2013-04-23 23:45:00",0.31,6.5,0.0476923076923077,0.24,0.24,0.2,0.18,0.16,144.507416222616,0.260113349200708,170.529606001391,0.306953290802503,0,0,1.19,3.15,"2013-04-10 02:45:00",89.3,64.5,89.3,60.1,89.3,112.6,317,104.971428571429,317,0.924290722193094,-0.381689220266658,7.8,1.7,0,35.7765625,49.78404167,0,344,178,10
9,"Est_2013.1,MI-FM1-9",516.417251763896,5.49380055067975,6.19301152985717,1.41839941490277,5.19413870246085,0.0839053175012907,1.11873756668388,11.387150232318,3.79571674410601,3746.8,39.86,44.93,10.29,37.69,0.609,8.12,82.62,27.39,116220,"HT",NA,NA,NA,NA,NA,NA,"2013-05-29 00:28:00","2013-05-29 22:42:00","2013-05-28 22:45:00","2013-05-30 01:00:00",3.17,116089,0,8,"2013-05-28 22:45:00","2013-05-29 06:30:00",0.84,7.75,0.108387096774194,1.68,1.2,1.16,0.86,0.63,701.459532480496,6.03255197933227,679.928467574637,5.84738482114188,0,0,0,0,"2013-05-14 22:45:00",18.3,10.32,18.3,7.73666666666667,18.3,5.23571428571429,18.3,4.47928571428571,18.3,0.545240438540651,-0.838279705217774,30.6,11.7,0,25.8552662033333,58.997375,8,8,8,8
10,"MI-FM1-10",147,3.3,37.9,0.45,2.1,0.045,0.346,40,1.7,202.4,4.54,52.19,0.62,2.89,0.062,0.48,55.08,2.27,22057,NA,NA,NA,NA,NA,NA,NA,"2013-06-13 02:18:00","2013-06-13 09:15:00","2013-06-13 01:45:00","2013-06-13 14:45:00",1.24,22057,0,9,"2013-06-12 22:45:00","2013-06-12 23:55:00",0.1,1.16666666666667,0.0857142857142857,0.12,0.12,0.12,0.1,0.07,45.3423101801437,0.0453423101801437,57.1352621015853,0.0571352621015853,0,0,0,0,"2013-05-30 01:45:00",91.5,51.9,91.5,41.8666666666667,91.5,24.0385714285714,91.5,21.4585714285714,91.5,0.313107040935828,-0.949717842791431,26.1,17.2,0,33.42552083,64.75865625,24,24,24,10
12,"MI-FM1-11a,MI-FM1-11b,MI-FM1-11c",53.3284443836366,5.78105007524969,0.50602202763716,0.0114267683677658,0.877461417430565,0.0636823094814612,0.201384956902449,1.36919893282255,0.863176905185388,486.7,52.9,4.62,0.11,8,0.61,1.84,12.62,7.91,146180,"HT, HT, HT","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","2014-03-19 16:01:00","2014-03-22 21:20:00","2014-03-19 14:15:00","2014-03-23 01:45:00",2.34,146180,1,10,"2014-03-19 13:05:00","2014-03-22 02:50:00",0.43,61.75,0.00696356275303644,0.24,0.24,0.2,0.16,0.11,183.301879506615,0.293283007210584,213.164292587012,0.341062868139219,0,0,0,0,"2014-03-05 13:15:00",20,14.67,20,11.3266666666667,20,7.50857142857143,20,5.27785714285714,20,0.97410045517242,0.22611568550829,7.8,-10.5,-0.787402,17.702291668,31.145179862,0,303,124,10
13,"MI-FM1-12,Est_2014.1",18.1209964412811,4.00569395017794,0.0476868327402135,0.00476868327402135,0.438718861209964,0.0286120996441281,0.0677153024911032,0.476868327402135,0.476868327402135,1.6,0.4,0.005,0.005,0.04,5e-04,0.01,0.04,0.04,1405,"HT","HT","HT","HT","HT","HT","HT","2014-03-28 07:51:00","2014-03-28 15:37:00","2014-03-28 06:45:00","2014-03-28 22:45:00",0.04,1340,1,11,"2014-03-28 06:45:00","2014-03-28 06:46:00",0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.43,"2014-03-14 06:45:00",88.3,55.95,88.3,46.2,88.3,45.7571428571429,88.3,32.1371428571429,88.3,0.997324973108155,0.0730951298980785,10,2.2,0,17.15798611,30.73668229,0,312,133,10
16,"MI-FM1-13",295,8.4,0.1,0.02,2.24,0.05,0.676,2.3,2.2,1061.5,30.2,0.36,0.07,8.06,0.19,2.43,8.42,7.99,57640,"HT",NA,NA,NA,NA,NA,NA,"2014-05-07 22:01:00","2014-05-08 12:53:00","2014-05-07 19:00:00","2014-05-09 05:45:00",1.78,57640,0,12,"2014-05-07 17:30:00","2014-05-07 21:40:00",0.71,4.16666666666667,0.1704,1.8,1.68,1.24,0.7,0.62,667.817683253768,4.67472378277638,633.818540848958,4.43672978594271,0,0,0,0,"2014-04-23 19:00:00",31.5,21.7,31.5,19.4,31.5,22.6,31.5,18.1757142857143,33.6,0.806479946320946,-0.591261444863577,30,5,0,36.3902199066667,54.1221493066667,0,352,173,10
23,"MI-FM1-20",34,39.7,1.4,0.08,1.67,0.14,0.281,3.1,1.6,37.6,43.9,1.55,0.09,1.85,0.16,0.31,3.4,1.76,17723,NA,NA,NA,NA,NA,NA,NA,"2014-11-24 01:11:00","2014-11-24 14:48:00","2014-11-24 01:10:00","2014-11-25 01:15:00",0.61,17723,0,13,"2014-11-23 17:15:00","2014-11-24 12:05:00",1.03,18.8333333333333,0.0546902654867257,0.24,0.18,0.2,0.18,0.16,496.158690435649,0.893085642784168,598.349583608716,1.07702925049569,0,0,0,0,"2014-11-10 01:10:00",99.6,56.4,99.6,38.11,99.6,16.9157142857143,99.6,9.14714285714286,99.6,-0.594726686960765,0.80392796183282,14.4,-0.5,0,37.890711805,40.04262153,23,553,23,10
24,"MI-FM1-21",40,19.7,1,0.05,1.6,0.06,0.333,2.6,1.6,181.4,89.3,4.54,0.23,7.26,0.27,1.51,11.79,7.03,72649,NA,NA,NA,NA,NA,NA,NA,"2014-12-24 17:11:00","2014-12-25 11:11:00","2014-12-24 16:45:00","2014-12-26 17:15:00",2.12,72649,0,14,"2014-12-24 03:00:00","2014-12-25 07:05:00",1.21,28.0833333333333,0.0430860534124629,0.36,0.36,0.32,0.22,0.17,593.223716942284,1.30509217727302,697.233179438082,1.53391299476378,0,0,0,0,"2014-12-10 16:45:00",47.2,25.59,47.2,18.1566666666667,47.2,10.1357142857143,47.2,6.98142857142857,47.2,-0.120208044899353,0.99274872245774,9.4,1.7,0,36.7198495366667,36.8004438666667,30,583,53,10
25,"MI-FM1-22a,MI-FM1-22b,MI-FM1-22c,MI-FM1-22d",7.27471000610513,4.08123776341551,0.244467484895055,0.271375023683712,1.02292283320351,0.0619178017304899,0.120525452095745,1.28478137302373,0.729018862760784,90.3,48.4,2.91,3.22,12.14,0.7,1.43,15.03,8.91,190004,"<, NA, NA, <","NA, NA, NA, NA","NA, NA, NA, NA","NA, NA, NA, NA","NA, NA, NA, NA","NA, NA, NA, NA","NA, NA, NA, NA","2015-03-11 03:30:00","2015-03-16 04:10:00","2015-03-09 13:30:00","2015-03-17 07:30:00",2.08,190004,1,15,"2015-03-09 13:30:00","2015-03-09 13:31:00",0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2015-02-23 12:30:00",6.1,4.95,6.1,4.1,6.1,2.82857142857143,6.1,2.27857142857143,6.1,0.920971287716634,0.389630449530789,18.9,-6,-7.87402,22.3616126555556,31.6779344133333,30,658,128,10
26,"MI-FM1-23",187,46.6,61.9,1.71,2.47,0.11,0.481,64.4,0.8,398.1,99.2,131.79,3.64,5.26,0.23,1.02,137.05,1.62,34104,NA,NA,NA,NA,NA,NA,NA,"2015-06-14 04:05:00","2015-06-14 14:34:00","2015-06-14 08:00:00","2015-06-14 19:15:00",1.63,34104,0,16,"2015-06-14 04:10:00","2015-06-14 04:11:00",0.06,0.0166666666666667,3.6,0.72,0.36,0.24,0.12,0.06,55.3210390645761,0.0663852468774913,52.126623379125,0.06255194805495,0,0,0,0,"2015-05-31 08:00:00",67.3,35.955,67.3,26.0833333333333,67.3,13.3942857142857,67.3,7.82285714285714,67.3,0.296712819273494,-0.954966754855254,26.7,18.3,0,19.26666667,62.6076875,27,27,35,10
27,"MI-FM1-24",441,15.6,10.2,0.46,2.49,0.1,0.874,12.7,2,13615.3,481.6,314.91,14.2,76.88,3.09,26.98,391.79,62.67,494548,NA,NA,NA,NA,NA,NA,NA,"2015-06-15 16:18:00","2015-06-16 15:44:00","2015-06-15 20:00:00","2015-06-17 18:15:00",10.4,494548,0,17,"2015-06-15 19:05:00","2015-06-15 23:55:00",1.93,4.83333333333333,0.399310344827586,2.88,2.64,2.44,2.06,1.47,1906.00576483867,39.2637187556765,1807.79279169878,37.240531508995,0,0.06,0.06,0.06,"2015-06-01 20:00:00",98.6,82.95,98.6,56.8366666666667,98.6,26.5,98.6,14.5857142857143,98.6,0.263665492728009,-0.964614175691243,29.4,13.3,0,34.1494791666667,67.85159375,28,28,36,10
28,"MI-FM1-25",358,12,3.9,0.08,2.33,0.07,0.758,6.2,2.3,4080,136.8,44.45,0.91,26.55,0.84,8.64,71,25.64,182554,NA,NA,NA,NA,NA,NA,NA,"2015-06-22 19:30:00","2015-06-23 16:26:00","2015-06-22 23:30:00","2015-06-24 08:45:00",3.68,182554,0,18,"2015-06-22 21:50:00","2015-06-23 00:05:00",1.1,2.25,0.488888888888889,3.48,2.76,2.36,1.7,0.96,1068.29004658004,18.1609307918607,1029.28196829437,17.4977934610043,0,0,0.17,1.99,"2015-06-08 23:30:00",11.3,10.85,11.3,12.0333333333333,14.4,66.6428571428571,315,46.5714285714286,315,0.145799196919876,-0.989314203970366,29.4,10.6,0,34.0776041666667,69.6713229166667,30,35,43,10
29,"MI-FM1-26",155,4,0.05,0.03,1.44,0.11,0.444,1.5,1.4,215.4,5.6,0.14,0.04,2,0.15,0.62,2.14,1.96,22262,NA,NA,"<",NA,NA,NA,NA,"2015-09-08 03:01:00","2015-09-08 08:23:00","2015-09-08 06:45:00","2015-09-08 20:30:00",1.4,22262,0,19,"2015-09-08 05:20:00","2015-09-08 05:21:00",0.06,0.0166666666666667,3.6,0.72,0.36,0.24,0.12,0.06,55.3210390645761,0.0663852468774913,52.126623379125,0.06255194805495,0,0,0,0,"2015-08-25 06:45:00",48.8,27.905,48.8,18.86,48.8,8.60142857142857,48.8,4.68214285714286,48.8,-0.924290722193092,-0.381689220266663,31.1,22.2,0,25.20625,71.04496875,30,113,121,10
